Year,Code,Course,Organization,Type,Trainer,Competencies
2026,2026_C09,Natural Language Processing,Turkcell,Online - Asynch,Kaan Can Y?lmaz,nlp & ai & ai literacy
2026,2026_C08,Leadership Skills Training: Become an Inspiring Leader!,Lecturio GmbH (Udemy),Online - Asynch,Tony Hunt,leadership & people management & management
2026,2026_C07,Artificial Intelligence and Autonomous Robots in Defense Industry Strategies,The Defense Industry Academy,Online - Asynch,Ecehan Ersöz,ai strategy & defense industry knowledge & autonomous systems literacy & strategic analysis
2026,2026_C06,AI for Beginners,HP LIFE,Online - Asynch,-,ai literacy & basic machine learning concepts & algorithmic thinking
2026,2026_C05,Report Design with Microsoft Report Builder,Turkish Aerospace Academy,F2F,Erdinç Erdo?an,reporting & business intelligence & data presentation & sql
2026,2026_C04,Eigenvalues & Eigenvectors and Diagonalization with R,CodeSignal,Online - Asynch,-,linear algebra & mathematical modeling & analytical thinking & r programming
2026,2026_C03,Applied Basic SPSS Training,Udemy,Online - Asynch,-,statistical analysis & spss & quantitative research skills
2026,2026_C02,Vector and Matrix Operations with R,CodeSignal,Online - Asynch,-,linear algebra & numerical computation & r programming
2026,2026_C01,Fundamentals of Vectors and Matrices with R,CodeSignal,Online - Asynch,-,analytical thinking & r programming
2025,2025_C33,Introduction to Relational Databases and SQL,Turkish Aerospace Academy,F2F,Özgür Bora Ergun,sql & database design & data querying & data modeling
2025,2025_C32,Microsoft Excel from Beginning to Intermediate Level,Turkish Aerospace Academy,F2F,Rabia Dü?er,excel & data analysis & reporting
2025,2025_C31,Colors for Data Science A-Z: Data Visualization Color Theory,SuperDataScience Team (Udemy),Online - Asynch,Patrycja Hannagan & Kirill Eremenko,data visualization & visual perception & design thinking
2025,2025_C30,First Aid (Valid for 3 Years),Turkish Aerospace Health Center,F2F,Suat Kurnaz,health and safety awareness & first aid
2025,2025_C29,Statistics for Data Science and Business Analysis,365 Careers (Udemy),Online - Asynch,Iliya Valchanov,statistical reasoning & data analysis & business analytics
2025,2025_C28,Data Visualization with ggplot2,CodeSignal,Online - Asynch,-,data visualization & r programming & storytelling with data
2025,2025_C27,Hypothesis Testing in R,CodeSignal,Online - Asynch,-,inferential statistics & hypothesis testing & r programming
2025,2025_C26,Decision-Making in High-Stress Situations,Finnse Academy (Udemy),Online - Asynch,Dr. Eduardo Aponte,decision-making & crisis management & cognitive resilience
2025,2025_C25,Advanced Data Transformation Techniques,CodeSignal,Online - Asynch,-,data wrangling & feature engineering & data preprocessing
2025,2025_C24,Data Cleaning and Preprocessing with R,CodeSignal,Online - Asynch,-,preprocessing & r programming
2025,2025_C23,Statistical Analysis with R,CodeSignal,Online - Asynch,-,statistical modeling & data analysis & r programming
2025,2025_C22,Data Fundamentals,IBM SkillsBuild,Online - Asynch,-,data literacy & data concepts & analytical thinking
2025,2025_C21,Data Manipulation in R,CodeSignal,Online - Asynch,-,data wrangling & r programming
2025,2025_C20,Artificial Intelligence and Copyright,The Defense Industry Academy,Online - Asynch,Elif Kenan,ai ethics
2025,2025_C19,Data Science Project Cycle,Turkcell,Online - Asynch,Mustafa Vahit Keskin,project management & data science lifecycle
2025,2025_C18,Counterintelligence Training,The Defense Industry Academy,Online - Asynch,Dr. Yenal Göksun & Dr. Celal Erbay,security awareness & risk analysis & information protection
2025,2025_C17,Learn ggplot2 in R for Data Visualization,The Data Ink Lab (Udemy),Online - Asynch,Dr. Clara Granell,data visualization & r programming
2025,2025_C16,Introduction to Microsoft Power BI,Turkish Aerospace Academy,F2F,Cem Özdemir,data analysis & data visualization & reporting
2025,2025_C15,Machine Learning Applications with Python,BTK Akademi,Online - Asynch,Kaan Can Y?lmaz,machine learning & python programming
2025,2025_C14,Machine Learning,Turkish Aerospace Academy,Online - Synch,Özge Koç,machine learning
2025,2025_C13,Data Manipulation 101 & 201,Turkcell,Online - Asynch,Mustafa Vahit Keskin,data preprocessing & data wrangling
2025,2025_C12,Introduction to Cloud Technologies with Google Drive,Bilge??,Online - Asynch,-,cloud literacy & digital collaboration tools
2025,2025_C11,Presenting Data,HP LIFE,Online - Asynch,-,data storytelling & communication & presentation skills
2025,2025_C10,Data Science & Analytics,HP LIFE,Online - Asynch,-,analytical thinking & data-driven decision making
2025,2025_C09,Programming Tools: Git & Github,Kampüs 365 & Enocta,Online - Asynch,Murat Ba?eren,version control & collaborative development
2025,2025_C08,Workforce Analytics for HR,Human Capital Management Institute,Online - Asynch,Jeff Higgins ,hr analytics
2025,2025_C07,Remote Working and Productivity,Bo?aziçi Institute,Online - Asynch,Özlem Ç?ng?r Gürdal,time management & remote collaboration
2025,2025_C06,Data Analysis,The Defense Industry Academy,Online - Asynch,Erol Yücel,analytical thinking & statistical reasoning
2025,2025_C05,Basic Python Programming,upGrad,Online - Asynch,-,python programming & computational thinking
2025,2025_C04,Training & Development Analytics,BNCInsight,Online - Synch,Emre Tuna Ayd?n,learning analytics
2025,2025_C03,Data Analytics & Data Science for Executives,DMSA Training (Udemy),Online - Asynch,Matthew Bernath,strategic data literacy
2025,2025_C02,Mastering Data Visualization: Theory and Foundations,The Data Ink Lab (Udemy),Online - Asynch,Dr. Clara Granell,data visualization & perceptual design
2025,2025_C01,Mastering Data Visualization with R,Quality Gurus (Udemy),Online - Asynch,Sandeep Kumar,data visualization & r programming
2024,2024_C09,Leadership Base Supervisor Development Program,Turkish Aerospace Academy,F2F,?ule Çetinkaya,leadership & people management & decision making & management
2024,2024_C08,Introduction to Data Science & AI 101,Turkcell,Online - Asynch,Mustafa Vahit Keskin,data science literacy & ai fundamentals
2024,2024_C07,Data Preprocessing 101,Turkcell,Online - Asynch,Mustafa Vahit Keskin,data cleaning & data preprocessing & data wrangling
2024,2024_C06,Data Literacy 101,Turkcell,Online - Asynch,Mustafa Vahit Keskin,data literacy
2024,2024_C05,Expert in the Profession: Internal Trainer Development Program,Turkish Aerospace Academy,F2F,-,instructional design & adult learning
2024,2024_C04,Leading Change and Change Management,?apka Dan??manl?k & Enocta,Online - Asynch,Kemal ?slamo?lu,change management & organizational leadership
2024,2024_C03,Python for Software Engineers,Turkish Aerospace Academy,F2F,Mert Karagöz,python programming
2024,2024_C02,Product Management 101,Udemy,Online - Asynch,Todd Birzer,product lifecycle management
2024,2024_C01,Introduction to Data Literacy,Sullivan Learning Group (Udemy),Online - Asynch,Dan Sullivan,data literacy & analytical thinking
2023,2023_C04,Building Dashboards with R Shiny,Ya?am Boyu Psikoloji,Online - Synch,Dr. Eren Can Aybek,dashboard design & r programming & data visualization
2023,2023_C03,Internal Trainer Development,Turkish Aerospace Academy,F2F,-,training delivery & facilitation skills
2023,2023_C02,Effective Presentation Techniques,Turkish Aerospace Academy,Online - Synch,-,communication & presentation skills
2023,2023_C01,Human Analytics and Business Intelligence Training,TEGEP,F2F,Emre Tuna Ayd?n,hr analytics & business intelligence
2022,2022_C08,Applied Psychometry with R Shiny,Ya?am Boyu Psikoloji,Online - Synch,Dr. Eren Can Aybek,psychometrics & r programming
2022,2022_C07,Conducting an Effective Hiring Interview,Skillsoft,Online - Asynch,-,interviewing skills & talent assessment
2022,2022_C06,Sectoral Developments and Big Data,BAUGO & Enocta,Online - Asynch,Dr. Yücel Batu Salman,big data
2022,2022_C05,Analyses of Mediator and Moderator Variables,EPODDER,Online - Synch,Dr. Abdullah Faruk K?l?ç,advanced statistics & statistical modeling
2022,2022_C04,Agile Methods and Scrum Framework,Turkish Aerospace Academy,F2F,?brahim Seyfullah Babaarslan,agile project management & teamwork
2022,2022_C03,Prof. Dr. Weiss - New Applications of IRT-Based CAT,EPODDER,Online - Synch,Dr. David J. Weiss,assessment & psychometrics
2022,2022_C02,Data Analysis with R,IDUSEM,F2F,Dr. Ne?e Güler & Dr. Kübra Atalay Kabasakal & Dr. Burak Ayd?n & Dr. Sungur Gürel & Dr. Meltem Yurtçu & Dr. Mustafa ?lhan & Dr. Eren Can Aybek & Dr. Eda Akdo?du & Huseyin Y?ld?z,data analysis & r programming
2022,2022_C01,Computerized Adaptive Testing: Theory & Practice,TÜB?TAK & Bo?aziçi University,F2F,Dr. Serkan Ar?kan & Dr. Emine Erktin & Dr. Ne?e Güler & Dr. Nilufer Kahraman & Dr. Meltem Yurtçu & Dr. Kübra Atalay Kabasakal & Dr. ?lker Kalender & Dr. Eren Can Aybek & Dr. Murat Do?an ?ahin & Dr. Günes Erta? & Dr. Nükhet Ç?kr?kç?,assessment & psychometrics
2021,2021_C11,Scale Development and Adaptation,AYEUM,Online - Asynch,Dr. ?smail Seçer,scale development & measurement theory & psychometrics & research methodology
2021,2021_C10,Structural Equation Modeling and CFA (LISREL),AYEUM,Online - Asynch,Dr. ?smail Seçer,structural equation modeling & cfa & multivariate statistics
2021,2021_C09,Data Privacy Fundamentals,Northeastern University,Online - Asynch,Woodrow Hartzog,data privacy
2021,2021_C08,Introduction to Data Science,IBM,Online - Asynch,-,data science fundamentals & analytical thinking
2021,2021_C07,Quantitative Methods,University of Amsterdam,Online - Asynch,Annemarie Zand Scholten,quantitative analysis & statistical reasoning & research design
2021,2021_C06,Introduction to AI, Robotics and Data,Global AI Hub,Online - Asynch,-,ai literacy & robotics awareness & data concepts
2021,2021_C05,Social Network Analysis Using R,Linkedin Learning,Online - Asynch,-,network analysis & graph-based analysis & r programming
2021,2021_C04,Data Science: R Basics,Harvard University (HarvardX),Online - Asynch,Dr. Rafael Irizarry,r programming & data analysis fundamentals
2021,2021_C03,Teaching Problem Solving in Math for Elementary Learners,edWeb,Online - Synch,Lyn D. English,instructional design & problem-solving
2021,2021_C02,Teamwork,Turkish Aerospace Academy,Online - Synch,Eda Cengiz,collaboration & teamwork
2021,2021_C01,Effective Communication Techniques,Turkish Aerospace Academy,Online - Synch,Eda Cengiz,communication & interpersonal skills
2020,2020_C10,Remote Teaching Online,Udemy,Online - Asynch,Nick Nyxson,online instruction
2020,2020_C09,Recalculating Secondary-Level Math,edWeb,Online - Synch,Kim Gardner & Justin Backeberg,analytical thinking
2020,2020_C08,Assessment for Learning,University of Illinois U-C,Online - Asynch,Dr. William Cope & Dr. Mary Kalantzis,formative assessment & learning analytics
2020,2020_C07,Statistics for Data Science 101 & 201,Turkcell,Online - Asynch,Mustafa Vahit Keskin,statistical analysis & probability & inferential statistics
